Temperature,Humidity,CO2,Light,Occupancy,EnergyUsage
21.0,30.0,450,300,1,210
22.5,35.0,500,320,1,230
23.0,40.0,520,310,1,250
24.0,45.0,550,350,1,270
19.5,25.0,420,290,0,120
20.0,28.0,430,295,0,130
25.0,48.0,600,400,1,300
26.0,50.0,620,410,1,320
18.0,22.0,410,280,0,110
27.0,55.0,650,420,1,340
28.0,60.0,670,430,1,360
22.0,33.0,480,305,1,220
21.5,31.0,460,298,1,215
23.5,42.0,540,330,1,255
24.5,46.0,560,345,1,275
25.5,49.0,610,395,1,310
26.5,52.0,630,405,1,330
20.5,29.0,440,297,0,135
19.0,26.0,425,292,0,125
29.0,63.0,690,440,1,380
30.0,65.0,710,450,1,400
17.5,20.0,405,275,0,100
16.0,18.0,390,260,0,90
31.0,67.0,730,460,1,420
32.0,70.0,750,470,1,440
